Название,Цена,Описание,Характеристики,Фото
Кулачковый насос Yildiz YLP4 062-025,по запросу,,Производительность:18 м3/час Обороты:500 об/мин Давление насоса:8 бар Производительность:18 м3/час Обороты:500 об/мин Давление насоса:8 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2202/ylp.jpg 
Кулачковый насос Yildiz YLP4 090-030,по запросу,,Производительность:27 м3/час Обороты:500 об/мин Давление насоса:7 бар Производительность:27 м3/час Обороты:500 об/мин Давление насоса:7 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2203/ylp.jpg 
Кулачковый насос Yildiz YLP5 130-030,по запросу,,Производительность:39 м3/час Обороты:500 об/мин Давление насоса:8 бар Производительность:39 м3/час Обороты:500 об/мин Давление насоса:8 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2204/ylp.jpg 
Кулачковый насос Yildiz YLP5 180-040,по запросу,,Производительность:54 м3/час Обороты:500 об/мин Давление насоса:7 бар Производительность:54 м3/час Обороты:500 об/мин Давление насоса:7 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2205/ylp.jpg 
Кулачковый насос Yildiz YLP6 285-040,по запросу,,Производительность:85 м3/час Обороты:500 об/мин Давление насоса:7 бар Производительность:85 м3/час Обороты:500 об/мин Давление насоса:7 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2206/ylp.jpg 
Кулачковый насос Yildiz YLP6 355-060,по запросу,,Производительность:106 м3/час Обороты:500 об/мин Давление насоса:7 бар Производительность:106 м3/час Обороты:500 об/мин Давление насоса:7 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2207/ylp.jpg 
Водокольцевой насос GMVP 120/030,43 792 руб.,,"Производительность:24 м3/час Предельный вакуум:400-33 мБар Мощность:0.75 кВт Производительность:24 м3/час Предельный вакуум:400-33 мБар Мощность:0.75 кВт Обороты:2850 об/мин Вход / Выход:G1"" ",https://rusgroupp.ru/assets/images/products/2209/vvn1.jpg 
Водокольцевой насос GMVP 120/050,49 640 руб.,,"Производительность:52 м3/час Предельный вакуум:400-33 мБар Мощность:1.5 кВт Производительность:52 м3/час Предельный вакуум:400-33 мБар Мощность:1.5 кВт Обороты:2850 об/мин Вход / Выход:G1"" ",https://rusgroupp.ru/assets/images/products/2210/vvn1.jpg 
Водокольцевой насос GMVP 200/055,94 112 руб.,,Производительность:72 м3/час Предельный вакуум:400-33 мБар Мощность:2.2 кВт Производительность:72 м3/час Предельный вакуум:400-33 мБар Мощность:2.2 кВт Обороты:1450 об/мин Вход / Выход:DN40 ,https://rusgroupp.ru/assets/images/products/2211/vvn1.jpg 
Водокольцевой насос GMVP 200/065,100 572 руб.,,Производительность:105 м3/час Предельный вакуум:400-33 мБар Мощность:3 кВт Производительность:105 м3/час Предельный вакуум:400-33 мБар Мощность:3 кВт Обороты:1450 об/мин Вход / Выход:DN40 ,https://rusgroupp.ru/assets/images/products/2212/vvn1.jpg 
